,Country,IDH,GNI_per_capita,pop_total,densidade_pop,pop_idade,pop_urbana,chegada_turistas,gasto_saude_per_capita,acesso_agua,temp_media,area_floresta,precipitacao
92,NICARAGUA,0.65,4789.84,6624554.0,55.0,26.0,0.57,1256000.0,192.08,0.99,24.9,0.26,2280.0
93,INDIA,0.65,6828.6,1380004385.0,464.0,28.0,0.35,17423000.0,69.29,0.97,23.65,0.24,1083.0
94,BHUTAN,0.62,8609.12,771608.0,20.0,28.0,0.46,274000.0,96.8,1.0,7.4,0.72,2200.0
95,ZAMBIA,0.59,3581.89,18383955.0,25.0,18.0,0.45,1072000.0,67.65,0.86,21.4,0.65,1020.0
96,CAMBODIA,0.58,3597.4,16718965.0,95.0,26.0,0.24,6201000.0,82.08,1.0,26.8,0.53,1904.0
97,NEPAL,0.58,2748.2,29136808.0,203.0,25.0,0.21,1173000.0,47.92,0.91,8.1,0.25,1500.0
98,ANGOLA,0.57,5554.7,32866272.0,26.0,17.0,0.67,218000.0,114.46,0.75,21.55,0.46,1010.0
99,ZIMBABWE,0.56,2661.07,14862924.0,38.0,19.0,0.38,2580000.0,110.15,0.97,21.0,0.36,657.0
100,SOLOMON ISLANDS,0.56,2026.72,686884.0,25.0,20.0,0.23,27900.0,101.24,0.93,25.65,0.78,3028.0
101,PAPUA NEW GUINEA,0.54,3685.8,8947024.0,20.0,22.0,0.13,140000.0,61.46,0.88,25.25,0.74,3142.0
102,COMOROS,0.54,2426.39,869601.0,467.0,20.0,0.29,35900.0,58.76,0.93,25.55,0.2,900.0
103,TANZANIA,0.53,2805.12,59734218.0,67.0,18.0,0.37,1378000.0,33.92,0.77,22.35,0.52,1071.0
104,MADAGASCAR,0.52,1403.92,27691018.0,48.0,20.0,0.39,291000.0,24.67,0.82,22.65,0.21,1513.0
105,BENIN,0.52,2134.59,12123200.0,108.0,19.0,0.48,295000.0,30.77,0.85,27.55,0.38,1039.0
106,LESOTHO,0.52,3243.84,2142249.0,71.0,24.0,0.31,1173000.0,104.55,0.95,11.85,0.02,788.0
107,TOGO,0.51,1592.54,8278724.0,152.0,19.0,0.43,573000.0,38.05,0.91,27.15,0.03,1168.0
108,HAITI,0.5,1664.89,11402528.0,414.0,24.0,0.57,447000.0,62.35,0.65,24.9,0.03,1440.0
109,MALAWI,0.49,1159.12,19129952.0,203.0,18.0,0.18,871000.0,32.26,0.96,21.9,0.33,1181.0
110,ETHIOPIA,0.47,1781.76,114963588.0,115.0,19.0,0.21,849000.0,25.26,0.93,22.2,0.13,848.0
111,MOZAMBIQUE,0.45,1153.7,31255435.0,40.0,18.0,0.38,2743000.0,21.07,0.81,23.8,0.48,1032.0
112,SIERRA LEONE,0.44,1381.3,7976983.0,111.0,19.0,0.43,57000.0,66.4,0.85,26.05,0.43,2526.0
113,BURKINA FASO,0.43,1705.49,20903273.0,76.0,18.0,0.31,144000.0,44.4,0.98,28.25,0.19,748.0
114,MALI,0.43,1965.39,20250833.0,17.0,16.0,0.44,14000.0,31.38,0.96,28.25,0.04,282.0
115,NIGER,0.38,912.04,24206644.0,19.0,15.0,0.17,157000.0,29.26,1.0,27.15,0.01,151.0
